concurrency,prompt_type,cache,stop_seq,ttft_ms,tpot,latency_p50,latency_p95,latency_p99,gpu_util
1,long,cold,False,2787.8,13.6,12754.0,12754.0,12754.0,N/A
1,long,cold,True,896.4,8.7,7307.0,7307.0,7307.0,N/A
1,long,warm,False,747.3,11.5,12425.5,12650.0,12670.0,N/A
1,long,warm,True,887.7,9.0,7112.6,7242.7,7254.2,N/A
1,short,cold,False,5075.4,14.6,6002.4,6002.4,6002.4,N/A
1,short,cold,True,726.9,15.7,1586.6,1586.6,1586.6,N/A
1,short,warm,False,710.9,14.9,1639.6,1678.5,1681.9,N/A
1,short,warm,True,731.1,16.1,1594.9,1599.7,1600.1,N/A
2,long,cold,False,10406.8,10.4,23211.3,29646.9,30219.0,N/A
2,long,cold,True,7015.2,11.4,10777.1,14032.6,14322.0,N/A
2,long,warm,False,11702.9,11.6,23175.2,30078.4,30136.0,N/A
2,long,warm,True,7652.1,10.6,11506.9,15452.5,15495.3,N/A
2,short,cold,False,4497.8,10.6,8106.1,9001.9,9081.5,N/A
2,short,cold,True,4427.3,11.3,7990.6,8782.3,8852.7,N/A
2,short,warm,False,4777.8,10.3,8563.4,9611.0,9623.0,N/A
2,short,warm,True,4341.1,11.0,7840.0,8795.8,8799.9,N/A
4,long,cold,False,25532.9,11.3,37191.5,55603.2,57229.7,N/A
4,long,cold,True,16169.2,10.0,19040.7,28423.3,29388.0,N/A
4,long,warm,False,23442.0,12.0,33963.9,56674.7,58094.5,N/A
4,long,warm,True,8682.5,23.1,10504.2,16426.1,16992.1,N/A
4,short,cold,False,11280.5,12.7,14203.9,16173.8,16376.9,N/A
4,short,cold,True,9624.6,13.8,10376.1,14931.3,15471.0,N/A
4,short,warm,False,9325.9,11.8,11903.8,18226.7,19430.4,N/A
4,short,warm,True,10052.2,11.2,16104.3,19780.3,20260.8,N/A
8,long,cold,False,45809.9,13.8,56099.4,92393.8,95404.0,N/A
8,long,cold,True,26243.9,13.8,30394.7,46390.2,47492.4,N/A
8,long,warm,False,44605.2,15.2,53817.5,87129.7,93529.0,N/A
8,long,warm,True,36417.8,10.0,39847.4,61882.7,65213.5,N/A
8,short,cold,False,7899.0,26.9,10267.2,15037.0,15173.3,N/A
8,short,cold,True,6900.3,26.5,8410.3,13622.3,14399.0,N/A
8,short,warm,False,6923.2,28.2,8916.6,13668.7,15170.3,N/A
8,short,warm,True,7403.9,25.6,9208.6,15795.6,16018.0,N/A
